video_name,link,thumbnail_link,duration,views,upload_date,likes,comments
Strongest TEAM of CS & DA in INDIA 🔥| Unstoppable TEAM United | Abdul Bari JOINED the GfG Revolution,https://www.youtube.com/watch?v=_T0bdTsX0rg,https://i.ytimg.com/vi/_T0bdTsX0rg/hqdefault.jpg,597.0,3975,N/A,N/A,N/A
Complete Data Science Roadmap 2026 | How To Become a Data Scientist Step by Step,https://www.youtube.com/watch?v=Qd6uWWd2Yoo,https://i.ytimg.com/vi/Qd6uWWd2Yoo/hqdefault.jpg,654.0,2551,N/A,N/A,N/A
HOW TO CRACK NIMCET ? Complete Roadmap for Beginners in 2026,https://www.youtube.com/watch?v=Besi1rnkYvs,https://i.ytimg.com/vi/Besi1rnkYvs/hqdefault.jpg,222.0,10110,N/A,N/A,N/A
How Do I Win Three 90 Challenge? All Questions Answered | GeeksforGeeks,https://www.youtube.com/watch?v=AGGqRQLWsjA,https://i.ytimg.com/vi/AGGqRQLWsjA/hqdefault.jpg,116.0,496,N/A,N/A,N/A
What Should You Do in B.Tech 1st & 2nd Year? | Complete Roadmap for Students | B.Tech Roadmap,https://www.youtube.com/watch?v=eixx5s2VFRg,https://i.ytimg.com/vi/eixx5s2VFRg/hqdefault.jpg,326.0,3014,N/A,N/A,N/A
DSA In Java | DP 01 | Java in One Shot | DP ( Dynamic Programming ) in Java,https://www.youtube.com/watch?v=NCzwXEutr30,https://i.ytimg.com/vi/NCzwXEutr30/hqdefault.jpg,21338.0,14015,N/A,N/A,N/A
GATE 2026 | How to Score 55+ Marks with the Easiest CS Topics,https://www.youtube.com/watch?v=BijzqYEMtbw,https://i.ytimg.com/vi/BijzqYEMtbw/hqdefault.jpg,423.0,23825,N/A,N/A,N/A
DSA In Java | Bit Manipulation | Java in One Shot | Bit Manipulation in Java,https://www.youtube.com/watch?v=cXHU1Zej4qA,https://i.ytimg.com/vi/cXHU1Zej4qA/hqdefault.jpg,16432.0,12828,N/A,N/A,N/A
Ready to take your money back? Introducing Three 90 Challenge by GeeksforGeeks!,https://www.youtube.com/watch?v=VViN3Z-svoQ,https://i.ytimg.com/vi/VViN3Z-svoQ/hqdefault.jpg,103.0,1629,N/A,N/A,N/A
Complete the Course- Take Your Money Back | Three 90 Challenge by GeeksforGeeks,https://www.youtube.com/watch?v=Bul9eqiZClc,https://i.ytimg.com/vi/Bul9eqiZClc/hqdefault.jpg,81.0,5356,N/A,N/A,N/A
DSA In Java | Hashmap 02 | Java in One Shot | Hashmap in Java,https://www.youtube.com/watch?v=pAho3GrFHPA,https://i.ytimg.com/vi/pAho3GrFHPA/hqdefault.jpg,12274.0,7220,N/A,N/A,N/A
GSOC 2026 Complete Roadmap for Beginners | Google Summer of Code Preparation Guide,https://www.youtube.com/watch?v=m_jJapV8NGY,https://i.ytimg.com/vi/m_jJapV8NGY/hqdefault.jpg,317.0,17182,N/A,N/A,N/A
DSA In Java | Hashmap 01 | Java in One Shot | Hashmap in Java,https://www.youtube.com/watch?v=0DJifcw2UGI,https://i.ytimg.com/vi/0DJifcw2UGI/hqdefault.jpg,9767.0,16454,N/A,N/A,N/A
Synthetic Empathy Explained | Are Machines Replacing Human Connection?,https://www.youtube.com/watch?v=gCMGXwUiUDw,https://i.ytimg.com/vi/gCMGXwUiUDw/hqdefault.jpg,373.0,817,N/A,N/A,N/A
Top AI Tools in 2025 | Complete AI Tier List Explained,https://www.youtube.com/watch?v=w70XVzGO6vQ,https://i.ytimg.com/vi/w70XVzGO6vQ/hqdefault.jpg,389.0,1353,N/A,N/A,N/A
DSA In Java | Heap 02 | Java in One Shot | Heap in Java,https://www.youtube.com/watch?v=IZz-Q4L5c4A,https://i.ytimg.com/vi/IZz-Q4L5c4A/hqdefault.jpg,11408.0,6895,N/A,N/A,N/A
Free AIMT by GfG | All India Mock Test Details & Registration Process,https://www.youtube.com/watch?v=1ne4JugUKv8,https://i.ytimg.com/vi/1ne4JugUKv8/hqdefault.jpg,129.0,1723,N/A,N/A,N/A
"MERN vs Data Science | Salary, Jobs & Future Scope Explained",https://www.youtube.com/watch?v=tCbgJZbblLU,https://i.ytimg.com/vi/tCbgJZbblLU/hqdefault.jpg,1154.0,4125,N/A,N/A,N/A
All About GATE 2027 | Syllabus | Exam Pattern | Cut Off | Eligibility Criteria | GATE 2027 Roadmap,https://www.youtube.com/watch?v=m_CY-DIv6Pk,https://i.ytimg.com/vi/m_CY-DIv6Pk/hqdefault.jpg,680.0,16359,N/A,N/A,N/A
Free Courses FAQs | Nation SkillUp | Utilize Nation Skillup to Learn & Win Rewards!,https://www.youtube.com/watch?v=PNjj29gbIo0,https://i.ytimg.com/vi/PNjj29gbIo0/hqdefault.jpg,262.0,6008,N/A,N/A,N/A
Ultimate Gen AI Project for Students | Build a Real-World AI,https://www.youtube.com/watch?v=96Xr3KTU7S4,https://i.ytimg.com/vi/96Xr3KTU7S4/hqdefault.jpg,770.0,882,N/A,N/A,N/A
When Should You Use Generative AI? (Real-World Examples),https://www.youtube.com/watch?v=QN60QTMKWBk,https://i.ytimg.com/vi/QN60QTMKWBk/hqdefault.jpg,547.0,575,N/A,N/A,N/A
